ID	Действие	Старый URL	Итоговый URL	Файл в репозитории	Canonical URL	Индексируемость	Статус публикации
83	UPDATE	/sozdanie-sajtov-v-petropavlovske-kak-vybrat-dizajn-kotoryj-privlekaet-klientov	/sozdanie-sajtov-v-petropavlovske-kak-vybrat-dizajn-kotoryj-privlekaet-klientov	site_mirror/sozdanie-sajtov-v-petropavlovske-kak-vybrat-dizajn-kotoryj-privlekaet-klientov/index.html	https://raskrutov.kz/sozdanie-sajtov-v-petropavlovske-kak-vybrat-dizajn-kotoryj-privlekaet-klientov	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
84	UPDATE	/sozdanie-sajtov-v-petropavlovske-kak-vybrat-luchshuyu-veb-studiyu	/sozdanie-sajtov-v-petropavlovske-kak-vybrat-luchshuyu-veb-studiyu	site_mirror/sozdanie-sajtov-v-petropavlovske-kak-vybrat-luchshuyu-veb-studiyu/index.html	https://raskrutov.kz/sozdanie-sajtov-v-petropavlovske-kak-vybrat-luchshuyu-veb-studiyu	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
85	UPDATE	/strategii-prodvizheniya-sajtov-v-kazakhstane	/strategii-prodvizheniya-sajtov-v-kazakhstane	site_mirror/strategii-prodvizheniya-sajtov-v-kazakhstane/index.html	https://raskrutov.kz/strategii-prodvizheniya-sajtov-v-kazakhstane	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
86	UPDATE	/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa	/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa	site_mirror/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa/index.html	https://raskrutov.kz/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
87	UPDATE	/seo-prodvizhenie-v-petropavlovske-polnyj-gid-dlya-biznesa	/seo-prodvizhenie-v-petropavlovske-polnyj-gid-dlya-biznesa	site_mirror/seo-prodvizhenie-v-petropavlovske-polnyj-gid-dlya-biznesa/index.html	https://raskrutov.kz/seo-prodvizhenie-v-petropavlovske-polnyj-gid-dlya-biznesa	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
88	UPDATE	/mobilnaya-versiya-sajta	/mobilnaya-versiya-sajta	site_mirror/mobilnaya-versiya-sajta/index.html	https://raskrutov.kz/mobilnaya-versiya-sajta	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
89	UPDATE	/vazhnost-kontekstnoj-reklamy-dlya-biznesa	/vazhnost-kontekstnoj-reklamy-dlya-biznesa	site_mirror/vazhnost-kontekstnoj-reklamy-dlya-biznesa/index.html	https://raskrutov.kz/vazhnost-kontekstnoj-reklamy-dlya-biznesa	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
90	UPDATE	/kontekstnaya-reklama-v-kazakhstane-kak-dobitsya-uspekha-	/kontekstnaya-reklama-v-kazakhstane-kak-dobitsya-uspekha-	site_mirror/kontekstnaya-reklama-v-kazakhstane-kak-dobitsya-uspekha-/index.html	https://raskrutov.kz/kontekstnaya-reklama-v-kazakhstane-kak-dobitsya-uspekha-	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
91	UPDATE	/kontakti; /kontakty	/kontakti	site_mirror/kontakti/index.html	https://raskrutov.kz/kontakti	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
92	NEW		/politika-konfidencialnosti	site_mirror/politika-konfidencialnosti/index.html	https://raskrutov.kz/politika-konfidencialnosti	noindex, follow	Не опубликована
